pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,selected_variant,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,D_total,D_med,D_bias,rot_err_deg,trans_dir_err_deg
0,Street,img_east,,,Street/img_east/image_east_0266.png,Street/img/image2_001121.png,v0_A2B_p1_s1,59.975898,3.221206,61.555984,nan,12.140403496208208,4.708253603729153,7.432149892479054,6.399114414437997,nan
1,Street,img_south,,,Street/img_south/image_south_1_0048.png,Street/img/image1_000245.png,v3_B2A_p2_s2,62.954206,1.738907,63.114772,nan,248.4788084393159,12.477160463176697,236.00164797613922,7.1264565345893445,nan
2,StMarysChurch,seq10,,,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00106.png,v2_B2A_p1_s1,51.541693,17.449371,56.141374,nan,21.232117122293264,14.960976514573833,6.271140607719432,1.0888079069813716,60.213008673703456
3,GreatCourt,seq3,,,GreatCourt/seq3/frame00318.png,GreatCourt/seq5/frame00368.png,v3_B2A_p2_s2,59.341141,0.627999,59.762347,nan,8.23969111502945,3.460418476744208,4.779272638285242,3.9019570117653126,53.66230605171117
4,GreatCourt,seq2,,,GreatCourt/seq2/frame00078.png,GreatCourt/seq3/frame00541.png,v1_A2B_p2_s2,55.182398,2.701816,55.800458,nan,59.11845474622305,21.0774050963135,38.04104964990955,62.342678101841216,57.97490336224702
5,Street,img_west,,,Street/img_west/image_west_0422.png,Street/img_south/image_south_1_0424.png,v1_A2B_p2_s2,52.357804,15.450621,54.771609,nan,70.28769871971531,23.529095921117623,46.75860279859769,1.442850355999793,nan
6,GreatCourt,seq1,,,GreatCourt/seq1/frame00038.png,GreatCourt/seq5/frame00265.png,v3_B2A_p2_s2,55.898099,0.125443,55.973463,nan,14.551930511401743,3.6116578494660914,10.940272661935651,2.9180308283840293,82.75003342179266
7,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00045.png,StMarysChurch/seq6/frame00015.png,v0_A2B_p1_s1,52.807049,5.072912,53.07022,nan,8.552195719114348,4.257116403879504,4.295079315234845,1.9273852914111222,9.88558652281936
8,StMarysChurch,seq4,,,StMarysChurch/seq4/frame00098.png,StMarysChurch/seq10/frame00036.png,v3_B2A_p2_s2,61.173862,16.637002,65.821367,nan,14.619112457082077,7.838873332882928,6.780239124199149,2.9801589740283405,22.471979925993452
9,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00261.png,StMarysChurch/seq12/frame00163.png,v0_A2B_p1_s1,51.070971,16.178427,55.307393,nan,17.017662583526125,2.4429914205067798,14.574671163019346,8.076886008011433,34.332949227724
10,Street,img_north,,,Street/img_north/image_north_1_0426.png,Street/img_east/image_east_0382.png,v2_B2A_p1_s1,57.36569,0.964868,57.438212,nan,18.452332329073606,15.632374477017795,2.8199578520558095,3.7568285395946552,nan
11,GreatCourt,seq5,,,GreatCourt/seq5/frame00094.png,GreatCourt/seq1/frame00138.png,v3_B2A_p2_s2,56.741743,2.074644,56.864893,nan,5.647064834599472,2.3254985759158115,3.32156625868366,4.05907124291364,28.236242900564456
12,GreatCourt,seq4,,,GreatCourt/seq4/frame00130.png,GreatCourt/seq1/frame00169.png,v3_B2A_p2_s2,57.759328,0.183857,58.105831,nan,50.219287952801096,13.597979330682197,36.6213086221189,0.9628388503422551,64.86030095060289
13,Street,img,,,Street/img/image2_002337.png,Street/img/image2_002433.png,v0_A2B_p1_s1,55.900667,3.339749,56.15729,nan,4.815740518016939,1.8716471532915424,2.944093364725396,6.347451794513998,nan
14,Street,img_east,,,Street/img_east/image_east_0139.png,Street/img_north/image_north_1_0205.png,v3_B2A_p2_s2,64.884822,2.475537,64.998163,nan,80.83758634054338,8.301718940620002,72.53586739992338,7.575211857043265,nan
15,Street,img_south,,,Street/img_south/image_south_1_0044.png,Street/img/image1_000216.png,v2_B2A_p1_s1,50.020701,2.022238,50.28021,nan,39.7778271507388,6.845618675589577,32.932208475149224,1.3013243578210627,nan
16,StMarysChurch,seq10,,,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00105.png,v3_B2A_p2_s2,50.861128,16.252837,54.840936,nan,12.540140339142939,6.923012754970446,5.617127584172493,2.0464033487007125,75.93743719435517
17,GreatCourt,seq3,,,GreatCourt/seq3/frame00316.png,GreatCourt/seq1/frame00187.png,v2_B2A_p1_s1,61.944133,2.073461,62.14714,nan,8.337208745786679,4.918254916394254,3.4189538293924255,14.834346993629161,56.372078121619005
18,GreatCourt,seq2,,,GreatCourt/seq2/frame00106.png,GreatCourt/seq5/frame00266.png,v2_B2A_p1_s1,53.298468,4.819264,53.504421,nan,44.15473036248445,3.98539282109285,40.1693375413916,0.6715648304938096,81.02618401329494
19,Street,img_west,,,Street/img_west/image_west_0423.png,Street/img_south/image_south_1_0425.png,v3_B2A_p2_s2,53.515433,12.171753,54.943837,nan,41.66365967258221,20.698441363565877,20.965218309016336,3.5563257545252585,nan
20,GreatCourt,seq1,,,GreatCourt/seq1/frame00188.png,GreatCourt/seq3/frame00316.png,v1_A2B_p2_s2,64.311598,4.238882,64.698041,nan,7.483003222898544,4.649681578435253,2.833321644463291,5.399574201257847,81.57355082367502
21,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00043.png,StMarysChurch/seq6/frame00017.png,v0_A2B_p1_s1,50.345926,2.897305,50.785123,nan,17.37896192316307,14.250561271598764,3.1284006515643075,3.341405329285541,29.143124751679647
22,StMarysChurch,seq4,,,StMarysChurch/seq4/frame00097.png,StMarysChurch/seq10/frame00036.png,v3_B2A_p2_s2,56.312977,18.499023,61.278096,nan,107.32891734973848,59.3060631876218,48.022854162116666,6.093412621270948,38.620381313115416
23,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00050.png,StMarysChurch/seq4/frame00062.png,v3_B2A_p2_s2,50.852933,19.938224,56.245988,nan,23.370307124121187,7.016316578920751,16.353990545200435,5.568040042954082,24.510835680132413
24,Street,img_north,,,Street/img_north/image_north_2_0382.png,Street/img/image2_000673.png,v3_B2A_p2_s2,60.084633,2.897152,62.594197,nan,54.71479063191162,24.867872375180276,29.846918256731342,4.862739398626943,nan
25,GreatCourt,seq5,,,GreatCourt/seq5/frame00316.png,GreatCourt/seq3/frame00369.png,v0_A2B_p1_s1,64.870134,0.323462,65.517689,nan,207.29783363995406,9.302556157947219,197.99527748200686,75.68910844653493,41.893560438073564
26,GreatCourt,seq4,,,GreatCourt/seq4/frame00049.png,GreatCourt/seq3/frame00485.png,v0_A2B_p1_s1,60.823333,2.126214,60.868046,nan,22.550695432596218,7.53064701072812,15.020048421868097,86.78751037797113,32.49815610011762
27,Street,img,,,Street/img/image2_000248.png,Street/img/image2_000244.png,v3_B2A_p2_s2,62.278,2.117295,62.328841,nan,37.67197434856876,9.174637365786442,28.49733698278232,11.805071323462547,nan
28,Street,img_east,,,Street/img_east/image_east_0267.png,Street/img/image2_001119.png,v3_B2A_p2_s2,63.526741,2.350013,65.73891,nan,8.316629378334179,2.8948889109546774,5.421740467379502,8.850448124523297,nan
29,GreatCourt,seq3,,,GreatCourt/seq3/frame00148.png,GreatCourt/seq5/frame00588.png,v2_B2A_p1_s1,61.415061,0.594266,61.51311,nan,37.967408568408615,15.752528559028267,22.214880009380348,4.575777834475795,13.014089124720792
30,GreatCourt,seq2,,,GreatCourt/seq2/frame00106.png,GreatCourt/seq5/frame00265.png,v1_A2B_p2_s2,52.537993,5.270692,52.785971,nan,12.147139218767553,3.917412729918039,8.229726488849513,2.7348745655976514,37.18084860196187
31,GreatCourt,seq1,,,GreatCourt/seq1/frame00552.png,GreatCourt/seq5/frame00468.png,v1_A2B_p2_s2,59.792923,3.178692,61.027948,nan,207.61368492319582,64.12895126887365,143.48473365432216,39.059220525394124,12.1421457901866
32,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00023.png,StMarysChurch/seq1/frame00219.png,v1_A2B_p2_s2,53.505843,5.292809,54.955863,nan,34.03392706339165,21.496970115173536,12.536956948218117,1.7982461014120275,32.03965331036809
33,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00050.png,StMarysChurch/seq4/frame00061.png,v0_A2B_p1_s1,53.061544,19.738182,58.122728,nan,10.028984692136557,3.3157530288991603,6.713231663237396,4.7352982486179,77.04057392252273
34,Street,img_north,,,Street/img_north/image_north_2_0383.png,Street/img/image2_000673.png,v0_A2B_p1_s1,57.391462,4.846029,60.558362,nan,16.78472133866688,3.356699044894301,13.428022293772578,5.332982469424403,nan
35,GreatCourt,seq5,,,GreatCourt/seq5/frame00300.png,GreatCourt/seq3/frame00540.png,v1_A2B_p2_s2,51.794387,5.921695,52.141245,nan,43.95831861448555,18.17256201684021,25.785756597645342,46.896192435378445,51.26213450503052
36,GreatCourt,seq4,,,GreatCourt/seq4/frame00048.png,GreatCourt/seq3/frame00483.png,v0_A2B_p1_s1,64.289494,1.455682,64.456347,nan,9.710527243245574,5.9711074524415215,3.739419790804052,86.84914673658233,53.69838707153935
37,Street,img,,,Street/img/image2_002343.png,Street/img/image2_002428.png,v0_A2B_p1_s1,64.965828,1.652438,65.051739,nan,24.955363145503796,6.453467063473354,18.50189608203044,5.203148329474907,nan
38,Street,img_east,,,Street/img_east/image_east_0129.png,Street/img_north/image_north_2_0152.png,v0_A2B_p1_s1,64.936979,4.376748,65.092422,nan,32.564311004833115,26.163814740338303,6.40049626449481,3.124436517035101,nan
39,GreatCourt,seq3,,,GreatCourt/seq3/frame00140.png,GreatCourt/seq5/frame00141.png,v0_A2B_p1_s1,58.811426,2.18135,58.892187,nan,52.050095264225135,22.073721636320194,29.97637362790494,157.5234911140151,68.07978063179351
40,GreatCourt,seq2,,,GreatCourt/seq2/frame00104.png,GreatCourt/seq5/frame00267.png,v3_B2A_p2_s2,54.811936,5.051717,55.031062,nan,88.23639555937628,9.652577843050944,78.58381771632533,1.5230312911088575,80.73338100957211
41,GreatCourt,seq1,,,GreatCourt/seq1/frame00547.png,GreatCourt/seq5/frame00473.png,v3_B2A_p2_s2,58.548915,1.10127,58.667066,nan,25.78824573948239,14.465279641658105,11.322966097824288,4.814616815151238,43.52702808208112
42,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00043.png,StMarysChurch/seq6/frame00016.png,v3_B2A_p2_s2,58.153994,1.217925,58.342799,nan,17.500772747889428,12.988430372698058,4.512342375191371,4.27601343608108,77.81367839768791
43,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00262.png,StMarysChurch/seq12/frame00164.png,v0_A2B_p1_s1,57.062552,15.807551,61.071151,nan,14.352365048917427,8.736494929038674,5.615870119878753,3.7472921980047356,47.701977284286016
44,Street,img_north,,,Street/img_north/image_north_2_0163.png,Street/img_east/image_east_0141.png,v0_A2B_p1_s1,62.804477,4.135351,62.927234,nan,12.781426870598604,3.2449907648965586,9.536436105702046,2.992400146417401,nan
45,GreatCourt,seq5,,,GreatCourt/seq5/frame00351.png,GreatCourt/seq3/frame00336.png,v0_A2B_p1_s1,50.320658,3.262627,51.443231,nan,24.57513383794171,7.96411743478221,16.6110164031595,2.207665303230395,72.58850515926048
46,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq1/frame00168.png,v1_A2B_p2_s2,53.154373,1.316928,53.667825,nan,2.819771405821137,1.278898519438738,1.5408728863823988,2.611901525085916,14.456075303125479
47,Street,img,,,Street/img/image2_001523.png,Street/img_west/image_west_0414.png,v0_A2B_p1_s1,59.874767,3.468489,60.200567,nan,48.984422957256186,37.317121149646944,11.667301807609242,1.5610158185962817,nan
48,Street,img_east,,,Street/img_east/image_east_0525.png,Street/img/image2_000031.png,v2_B2A_p1_s1,55.304191,0.879695,56.01854,nan,21.56640788088077,12.602325903045761,8.96408197783501,3.5947688449496322,nan
49,GreatCourt,seq3,,,GreatCourt/seq3/frame00190.png,GreatCourt/seq5/frame00191.png,v3_B2A_p2_s2,53.830221,0.935106,53.837939,nan,76.60840533561597,36.31976268497449,40.28864265064148,137.7010038467213,12.357118579157362
50,GreatCourt,seq2,,,GreatCourt/seq2/frame00104.png,GreatCourt/seq5/frame00266.png,v0_A2B_p1_s1,55.50902,2.589654,55.566717,nan,59.480549313653334,1.6401922214517497,57.840357092201586,1.249255146552171,55.92083989469601
51,GreatCourt,seq1,,,GreatCourt/seq1/frame00091.png,GreatCourt/seq3/frame00236.png,v2_B2A_p1_s1,50.534504,6.575303,51.307525,nan,18.75581578574221,6.356572565335485,12.399243220406726,2.519207376492759,27.24227544402612
52,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00044.png,StMarysChurch/seq6/frame00015.png,v0_A2B_p1_s1,55.225982,6.608973,55.839389,nan,20.435640062894464,11.121050645624914,9.31458941726955,0.5576041364063049,2.0245999071271252
53,Street,img_north,,,Street/img_north/image_north_1_0109.png,Street/img/image2_002393.png,v3_B2A_p2_s2,59.015296,1.303172,61.747837,nan,64.44387021810022,9.705360430709264,54.73850978739095,3.7357525239889604,nan
54,GreatCourt,seq5,,,GreatCourt/seq5/frame00376.png,GreatCourt/seq3/frame00314.png,v2_B2A_p1_s1,60.219252,0.624198,62.443133,nan,284.3956561116818,56.65036959863136,227.7452865130504,17.21527042581369,50.31091005982824
55,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq2/frame00233.png,v0_A2B_p1_s1,51.681172,0.122536,52.457057,nan,12.845346084912677,4.073271362191859,8.772074722720818,4.460730612325123,6.357298352680331
56,Street,img,,,Street/img/image2_000293.png,Street/img/image2_000254.png,v0_A2B_p1_s1,61.917187,4.745384,62.165151,nan,104.84139080615748,33.419860208371766,71.4215305977857,2.4736955817584847,nan
57,Street,img_east,,,Street/img_east/image_east_0226.png,Street/img/image2_001298.png,v2_B2A_p1_s1,57.569417,6.837747,58.209936,nan,5.365605332156191,2.1140114825505405,3.25159384960565,8.082074695542389,nan
58,GreatCourt,seq3,,,GreatCourt/seq3/frame00138.png,GreatCourt/seq5/frame00572.png,v3_B2A_p2_s2,62.571747,2.404964,62.87637,nan,5.815489459892975,1.3497267944848796,4.4657626654080955,85.69412816032565,48.12782958340755
59,GreatCourt,seq2,,,GreatCourt/seq2/frame00082.png,GreatCourt/seq5/frame00294.png,v2_B2A_p1_s1,59.573129,9.256117,60.429084,nan,23.191732418506287,5.32547394159707,17.866258476909216,0.33502236111167893,23.708594769679237
60,GreatCourt,seq1,,,GreatCourt/seq1/frame00193.png,GreatCourt/seq3/frame00323.png,v3_B2A_p2_s2,59.209895,2.915817,59.287229,nan,57.09768789738219,17.505975787274533,39.59171211010765,11.295957979451172,59.367845582463694
61,Street,img_north,,,Street/img_north/image_north_1_0458.png,Street/img_east/image_east_0416.png,v3_B2A_p2_s2,55.254535,2.490401,55.582898,nan,12.679361275738867,3.2177963605137547,9.461564915225111,3.4735620079106533,nan
62,GreatCourt,seq5,,,GreatCourt/seq5/frame00353.png,GreatCourt/seq1/frame00203.png,v3_B2A_p2_s2,56.379565,7.555912,57.172223,nan,44.5343585829566,19.98718814515694,24.547170437799657,0.9507173584348443,30.66395588325532
63,GreatCourt,seq4,,,GreatCourt/seq4/frame00130.png,GreatCourt/seq1/frame00168.png,v3_B2A_p2_s2,53.369228,1.387911,53.788154,nan,5.919126049062756,3.5805728525522666,2.338553196510489,4.623961261035893,5.938851695396375
64,Street,img,,,Street/img/image2_001785.png,Street/img_east/image_east_0125.png,v3_B2A_p2_s2,50.63714,8.90133,52.930106,nan,18.954042882917797,5.584996010090125,13.36904687282767,1.432745995153094,nan
65,Street,img_east,,,Street/img_east/image_east_0227.png,Street/img/image2_001299.png,v1_A2B_p2_s2,56.56247,8.377901,57.192433,nan,11.581790785551242,2.0469176311214072,9.534873154429835,6.9010700739613595,nan
66,GreatCourt,seq3,,,GreatCourt/seq3/frame00149.png,GreatCourt/seq5/frame00588.png,v3_B2A_p2_s2,64.279627,1.405014,64.496044,nan,54.77868312422494,50.121535639493345,4.657147484731592,90.55336683888589,17.624657819539703
67,GreatCourt,seq2,,,GreatCourt/seq2/frame00105.png,GreatCourt/seq5/frame00267.png,v1_A2B_p2_s2,56.342509,3.316167,56.433689,nan,20.012203533026458,4.470211959298551,15.541991573727906,2.5206704803942346,5.820613872632806
68,GreatCourt,seq1,,,GreatCourt/seq1/frame00111.png,GreatCourt/seq3/frame00255.png,v0_A2B_p1_s1,54.832442,6.296675,55.2816,nan,18.2207384661264,5.378290276204934,12.842448189921466,0.4023052498742436,48.602594110213026
69,Street,img_north,,,Street/img_north/image_north_1_0425.png,Street/img_east/image_east_0380.png,v2_B2A_p1_s1,63.870937,1.572418,63.890389,nan,49.62378753686581,34.39997518538069,15.223812351485124,3.6261560982907,nan
70,GreatCourt,seq5,,,GreatCourt/seq5/frame00354.png,GreatCourt/seq1/frame00202.png,v2_B2A_p1_s1,59.825873,6.146908,60.194353,nan,20.620981092428465,8.289397358294357,12.331583734134107,0.9702083172320768,39.41473208331901
71,GreatCourt,seq4,,,GreatCourt/seq4/frame00129.png,GreatCourt/seq1/frame00168.png,v2_B2A_p1_s1,54.952665,1.033303,55.416059,nan,4.307551988420434,1.1149440219389701,3.1926079664814635,6.2899861726978115,27.984870996910253
72,Street,img,,,Street/img/image2_002340.png,Street/img/image2_002432.png,v1_A2B_p2_s2,57.518114,6.090878,57.940749,nan,18.244911922064862,12.97724309681224,5.267668825252623,6.354214368977037,nan
73,Street,img_east,,,Street/img_east/image_east_0268.png,Street/img/image2_001119.png,v0_A2B_p1_s1,59.256422,1.471334,61.455908,nan,13.918342602101884,3.1260527820603743,10.79228982004151,8.531967549697898,nan
74,GreatCourt,seq3,,,GreatCourt/seq3/frame00321.png,GreatCourt/seq1/frame00192.png,v2_B2A_p1_s1,64.389681,5.85706,64.681419,nan,10.60610817586809,3.280171646849424,7.3259365290186675,6.691630982481536,1.9607614591275866
75,GreatCourt,seq2,,,GreatCourt/seq2/frame00083.png,GreatCourt/seq5/frame00294.png,v1_A2B_p2_s2,59.293932,7.827446,60.275643,nan,24.50788245494597,12.05111461610186,12.456767838844112,2.3683499188392734,75.18717841119285
76,GreatCourt,seq1,,,GreatCourt/seq1/frame00405.png,GreatCourt/seq5/frame00201.png,v3_B2A_p2_s2,52.340551,4.614073,52.798218,nan,271.67100012401335,36.20720665623804,235.4637934677753,2.6819027572551297,54.591140929812056
77,Street,img_north,,,Street/img_north/image_north_2_0235.png,Street/img/image2_001386.png,v1_A2B_p2_s2,61.977309,0.662487,63.211509,nan,28.867837335721426,6.2565819413446935,22.61125539437673,3.0893563860923057,nan
78,GreatCourt,seq5,,,GreatCourt/seq5/frame00255.png,GreatCourt/seq3/frame00507.png,v2_B2A_p1_s1,52.092967,5.829741,52.890738,nan,263.6404294748627,32.011398071533996,231.62903140332867,2.2327492726028044,18.03373153901035
79,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq2/frame00234.png,v3_B2A_p2_s2,53.06553,1.13377,53.431314,nan,5.462052849674777,2.258532367979446,3.2035204816953313,6.113430932106179,78.14646598071482
80,Street,img,,,Street/img/image2_002337.png,Street/img/image2_002435.png,v0_A2B_p1_s1,54.196474,1.269042,54.909906,nan,23.599253781001956,18.877759880625863,4.721493900376092,2.8163874324251896,nan
81,Street,img_east,,,Street/img_east/image_east_0438.png,Street/img/image2_000432.png,v3_B2A_p2_s2,55.167783,0.031233,57.440954,nan,58.088182870621736,12.149845810607506,45.938337060014234,5.587472253796389,nan
82,GreatCourt,seq1,,,GreatCourt/seq1/frame00334.png,GreatCourt/seq3/frame00445.png,v2_B2A_p1_s1,61.246602,2.006892,61.281141,nan,78.2877582158458,54.80642368469415,23.48133453115164,179.1892612927311,50.735929585263925
83,Street,img_north,,,Street/img_north/image_north_1_0428.png,Street/img_east/image_east_0383.png,v3_B2A_p2_s2,64.882149,0.208388,64.884406,nan,16.625817247554682,10.494452557689689,6.131364689864994,1.5788631751864364,nan
84,GreatCourt,seq5,,,GreatCourt/seq5/frame00318.png,GreatCourt/seq1/frame00240.png,v2_B2A_p1_s1,52.932312,6.026303,53.288703,nan,48.82319722787005,4.445957641007036,44.37723958686301,2.5934745177358907,71.90305692002934
85,GreatCourt,seq4,,,GreatCourt/seq4/frame00045.png,GreatCourt/seq3/frame00482.png,v3_B2A_p2_s2,52.680637,0.509147,52.96522,nan,36.50211757055655,14.808975874607992,21.693141695948558,95.30723786274207,56.87252631601707
86,Street,img,,,Street/img/image2_000208.png,Street/img/image2_000188.png,v3_B2A_p2_s2,59.839877,0.231768,59.847664,nan,48.925231537015165,23.31391945293945,25.611312084075713,1.1086514023274516,nan
87,Street,img_east,,,Street/img_east/image_east_0226.png,Street/img/image2_001299.png,v0_A2B_p1_s1,55.836578,7.881368,56.519123,nan,11.375579259617142,1.8842936402635302,9.491285619353611,4.688520663005594,nan
88,GreatCourt,seq1,,,GreatCourt/seq1/frame00039.png,GreatCourt/seq5/frame00264.png,v1_A2B_p2_s2,50.531646,1.568173,50.60999,nan,12.703627725272293,4.604278471437054,8.09934925383524,1.4686693703790934,37.146856105709915
89,Street,img_north,,,Street/img_north/image_north_1_0517.png,Street/img/image2_000300.png,v0_A2B_p1_s1,60.424118,1.95899,60.530406,nan,44.023678690547015,13.993101049713996,30.030577640833023,4.448572064946668,nan
90,GreatCourt,seq5,,,GreatCourt/seq5/frame00583.png,GreatCourt/seq3/frame00145.png,v3_B2A_p2_s2,52.094643,2.772649,52.500639,nan,3.057892092164033,2.0468551446069707,1.0110369475570624,167.95799058764158,67.35356162730528
91,Street,img,,,Street/img/image2_001919.png,Street/img_west/image_west_0492.png,v0_A2B_p1_s1,60.795166,10.679214,61.663504,nan,284.24115572567604,71.31561769410173,212.9255380315743,93.4357938057521,nan
